hc,BV700_streaming,电量过低，需要回充
ryr,BV700_streaming,你好，请让一让
序厅,BV019_streaming,欢迎光临
简介墙,BV019_streaming,反反复复说
沙盘,BV019_streaming,反反复复说
飞屏,BV019_streaming,反反复复说
沙龙区,BV019_streaming,反反复复说
一站式中心,BV019_streaming,反反复复说
路演厅,BV019_streaming,反反复复说
高校墙,BV019_streaming,反反复复说
展台一_1,BV019_streaming,反反复复说
展台一_2,BV019_streaming,反反复复说
展台一_3,BV019_streaming,反反复复说
展台二_1,BV019_streaming,反反复复说
展台二_2,BV019_streaming,反反复复说
展台二_3,BV019_streaming,反反复复说
螺旋墙,BV019_streaming,反反复复说
结束点,BV019_streaming,反反复复说
新音色龙老铁,longlaotie_v2,方言 - 东北直率男龙老铁
新音色龙应答,longyingda,客服 - 开朗高音龙应答
1,BV700_streaming,电量过低，需要回充
2,BV700_streaming,电量过低，需要回充
新音色龙应静,longyingjing,客服 - 低调冷静龙应静
新音色龙应催,longyingcui,客服 - 严肃催收龙应催
新音色龙应严,longyingyan,客服 - 义正严辞龙应严
新音色龙应甜,longyingtian,客服 - 温柔甜美龙应甜
555,longyingcui,欢迎光临
666,longyingda,欢迎光临
777,longyingda,欢迎光临
3333,longyingda,欢迎来干撒
7777,longyingda,欢迎光临
8888,longyingcui,发达发生的发达
0101,longyingcui,你好，欢迎光临
1010,longyingda,你好，欢迎光临
